[ 2025-09-10 01:26:43,487 ] 21 root - INFO - Initiating data ingestion...
[ 2025-09-10 01:26:47,803 ] 59 root - INFO - Performed train test split on data
[ 2025-09-10 01:26:47,803 ] 60 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-09-10 01:26:47,803 ] 65 root - INFO - Exporting train and test file path
[ 2025-09-10 01:26:47,887 ] 70 root - INFO - Exported train and test file path
[ 2025-09-10 01:26:47,887 ] 24 root - INFO - Data Ingestion Completed
[ 2025-09-10 01:26:47,910 ] 29 root - INFO - Initiating data validation...
[ 2025-09-10 01:26:47,962 ] 35 root - INFO - Require number of columns: 2
[ 2025-09-10 01:26:47,962 ] 36 root - INFO - Data frame has columns: 31
[ 2025-09-10 01:26:47,962 ] 35 root - INFO - Require number of columns: 2
[ 2025-09-10 01:26:47,962 ] 36 root - INFO - Data frame has columns: 31
[ 2025-09-10 01:26:48,045 ] 32 root - INFO - Data Validation Completed
[ 2025-09-10 01:26:48,045 ] 37 root - INFO - Initiating data transformationa...
[ 2025-09-10 01:26:48,045 ] 45 root - INFO - Entered intiate_data_transformation method of DataTransformation class
[ 2025-09-10 01:26:48,045 ] 47 root - INFO - Starting Data Transformation
[ 2025-09-10 01:26:48,060 ] 34 root - INFO - Entered get_data_transformer_object method of Data Transformation class
[ 2025-09-10 01:26:48,060 ] 36 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
