[ 2025-09-10 01:28:25,998 ] 21 root - INFO - Initiating data ingestion...
[ 2025-09-10 01:28:30,820 ] 59 root - INFO - Performed train test split on data
[ 2025-09-10 01:28:30,820 ] 60 root - INFO - Exited split_data_as_train_test method of DataIngestion class
[ 2025-09-10 01:28:30,820 ] 65 root - INFO - Exporting train and test file path
[ 2025-09-10 01:28:30,892 ] 70 root - INFO - Exported train and test file path
[ 2025-09-10 01:28:30,892 ] 24 root - INFO - Data Ingestion Completed
[ 2025-09-10 01:28:30,900 ] 29 root - INFO - Initiating data validation...
[ 2025-09-10 01:28:30,944 ] 35 root - INFO - Require number of columns: 2
[ 2025-09-10 01:28:30,947 ] 36 root - INFO - Data frame has columns: 31
[ 2025-09-10 01:28:30,947 ] 35 root - INFO - Require number of columns: 2
[ 2025-09-10 01:28:30,947 ] 36 root - INFO - Data frame has columns: 31
[ 2025-09-10 01:28:31,027 ] 32 root - INFO - Data Validation Completed
[ 2025-09-10 01:28:31,027 ] 37 root - INFO - Initiating data transformationa...
[ 2025-09-10 01:28:31,027 ] 45 root - INFO - Entered intiate_data_transformation method of DataTransformation class
[ 2025-09-10 01:28:31,027 ] 47 root - INFO - Starting Data Transformation
[ 2025-09-10 01:28:31,049 ] 34 root - INFO - Entered get_data_transformer_object method of Data Transformation class
[ 2025-09-10 01:28:31,049 ] 36 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-09-10 01:28:31,067 ] 40 root - INFO - Data Transformation Completed
